sample,fold,panel,spotset,caliber,k,n_spots,rnbr_med,rnbr_mean,rnbr_q25,rnbr_q75
INT9,1,trainHVG737,all,log1p_raw,6,1696,0.4671000162026805,0.48069024851724224,0.35592050807362047,0.6106263060839741
INT9,1,trainHVG737,all,cp10k_panel,6,1696,0.22226605795918974,0.22651243349241193,0.15578557584389593,0.2861113210677269
INT9,1,trainHVG737,all,cp10k_full,6,1696,0.12742628226778818,0.1520277916299732,0.07848227198726374,0.20123134655164435
INT8,2,trainHVG737,all,log1p_raw,6,1949,0.4948070728070402,0.5041223744173268,0.3810185490204103,0.6135085094405044
INT8,2,trainHVG737,all,cp10k_panel,6,1949,0.18065334046765677,0.21193901151828087,0.1321960133939657,0.25877266288492795
INT8,2,trainHVG737,all,cp10k_full,6,1949,0.1354563800987764,0.18491861409189814,0.08625796026516075,0.24844935250988331
INT7,2,trainHVG737,all,log1p_raw,6,2374,0.38928148599990997,0.4024330479441532,0.28625761102768493,0.5053574788666809
INT7,2,trainHVG737,all,cp10k_panel,6,2374,0.1136580751308897,0.12850964765621145,0.08045371933134653,0.15469221019131138
INT7,2,trainHVG737,all,cp10k_full,6,2374,0.09226640360341459,0.12082877384504846,0.052615866897634006,0.1579946494822548
INT6,2,trainHVG737,all,log1p_raw,6,1678,0.5503386213403925,0.5493474305324758,0.4375973880946108,0.6543877629649771
INT6,2,trainHVG737,all,cp10k_panel,6,1678,0.25380689791532834,0.25724757215777594,0.19328413630473043,0.3089446480240754
INT6,2,trainHVG737,all,cp10k_full,6,1678,0.17092427883148092,0.19258320327598696,0.11190903519232427,0.2487509177018965
INT23,2,trainHVG737,all,log1p_raw,6,4755,0.43333276799883536,0.44484766651382385,0.3006581696836984,0.5818757507782811
INT23,2,trainHVG737,all,cp10k_panel,6,4755,0.22743049846060523,0.27121101176744905,0.13979178475124912,0.3749911854879325
INT23,2,trainHVG737,all,cp10k_full,6,4755,0.18678391884848883,0.24050044624452233,0.09518183864695204,0.3382824292627828
INT5,3,trainHVG737,all,log1p_raw,6,1186,0.4394169322797045,0.4652318294689694,0.34029161450838696,0.5918731681439722
INT5,3,trainHVG737,all,cp10k_panel,6,1186,0.19132263136645097,0.22855792985073656,0.1223644838880174,0.2979814581075328
INT5,3,trainHVG737,all,cp10k_full,6,1186,0.17622038188006486,0.23383250943424636,0.08964640392372326,0.33144492949443416
INT4,3,trainHVG737,all,log1p_raw,6,1349,0.24579183621274198,0.2816681619868658,0.158663744915443,0.37380047426351004
INT4,3,trainHVG737,all,cp10k_panel,6,1349,0.12212329912261738,0.14096385428290967,0.0720152430805366,0.19591095202309286
INT4,3,trainHVG737,all,cp10k_full,6,1349,0.08000839646156006,0.10389563424247901,0.0384669672142974,0.1471601632274572
INT3,3,trainHVG737,all,log1p_raw,6,2007,0.17060409420898534,0.20121915401348642,0.10442327889430889,0.2610416959056673
INT3,3,trainHVG737,all,cp10k_panel,6,2007,0.08839416076817344,0.09881403633823145,0.05093882723431113,0.13839005661822623
INT3,3,trainHVG737,all,cp10k_full,6,2007,0.05192104293448784,0.06482607199429612,0.020271560490998985,0.09293313560960619
INT2,3,trainHVG737,all,log1p_raw,6,2580,0.18962241049813927,0.237348717656163,0.12602823728551288,0.31303186171989594
INT2,3,trainHVG737,all,cp10k_panel,6,2580,0.11453454780955652,0.1334588467929109,0.07238217476754306,0.1858971088685525
