sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
INT11,1,hest_var50,all,cp10k_full,1439,50,0.12759608158471109,0.13012076200681638,0.12133579144782222,0.12172366851297012
INT10,1,hest_var50,all,cp10k_full,1983,50,0.2815428136237794,0.27081286762736345,0.27789036074479495,0.2789259242482353
INT9,1,hest_var50,all,cp10k_full,1696,50,0.20863329230541716,0.18939814639386687,0.20081217441312776,0.194622898701349
INT12,1,trainHVG50,all,log1p_raw,1451,50,0.3100321852124363,0.3398295938992357,0.3078460799840769,0.3324510271370171
INT11,1,trainHVG50,all,log1p_raw,1439,50,0.5013664693811926,0.5085469575506504,0.49877528015418443,0.5062022141881068
INT10,1,trainHVG50,all,log1p_raw,1983,50,0.6913174787775409,0.7031743974646912,0.6902716113148323,0.7021927005666518
INT9,1,trainHVG50,all,log1p_raw,1696,50,0.581381262340423,0.5656643453061792,0.5794661516014452,0.5636588207908201
INT12,1,trainHVG50,all,cp10k_panel,1451,50,0.2016604630545886,0.1877967940598111,0.19638393461784376,0.17792800619707286
INT11,1,trainHVG50,all,cp10k_panel,1439,50,0.2632226824595934,0.2514011836831782,0.2603425083492047,0.24360818885076668
INT10,1,trainHVG50,all,cp10k_panel,1983,50,0.5625903691960239,0.5451936497789884,0.5607078070649175,0.5437534551063634
INT9,1,trainHVG50,all,cp10k_panel,1696,50,0.4026638922989729,0.3828238425709978,0.3996516127796189,0.3790895463715622
INT12,1,trainHVG50,all,cp10k_full,1451,50,0.0901852844284036,0.08444295888464129,0.08674287337263942,0.08182230592872902
INT11,1,trainHVG50,all,cp10k_full,1439,50,0.12468126199955322,0.11605842872915634,0.1109507599999045,0.10263003765127841
INT10,1,trainHVG50,all,cp10k_full,1983,50,0.2815428136237794,0.29361838746542196,0.27742643693053604,0.29313117230096514
INT9,1,trainHVG50,all,cp10k_full,1696,50,0.21675722639643608,0.20343354832534769,0.20990618640738218,0.20760564992033728
INT12,1,trainHVG737,all,log1p_raw,1451,737,0.3220661137747401,0.34529009135001076,0.3185864800830857,0.34059619070694835
INT11,1,trainHVG737,all,log1p_raw,1439,737,0.5040850130817481,0.5161739846344925,0.5013329678377424,0.5134713861981165
INT10,1,trainHVG737,all,log1p_raw,1983,737,0.7496854635615019,0.7338902158432644,0.7491712847540241,0.7330911384812006
INT9,1,trainHVG737,all,log1p_raw,1696,737,0.5396125076927555,0.5453299750816487,0.53799510074958,0.5435854942794482
INT12,1,trainHVG737,all,cp10k_panel,1451,737,0.1518519143185071,0.14375732464955776,0.14062862233705697,0.13472354068378395
INT11,1,trainHVG737,all,cp10k_panel,1439,737,0.1958470057497277,0.19020305087488848,0.18775165799238924,0.18519061597863773
INT10,1,trainHVG737,all,cp10k_panel,1983,737,0.48428052641492175,0.44931200965013224,0.48212226741031255,0.45775449425691017
INT9,1,trainHVG737,all,cp10k_panel,1696,737,0.31906934591862174,0.3000700100014022,0.31484437085378963,0.2986586379143995
INT12,1,trainHVG737,all,cp10k_full,1451,737,0.09562061931249928,0.09142479358910457,0.07967165210032427,0.07944126602074274
INT11,1,trainHVG737,all,cp10k_full,1439,737,0.13621975533180017,0.13677615433572154,0.12641546012536345,0.13100850941944206
INT10,1,trainHVG737,all,cp10k_full,1983,737,0.3007625949096221,0.28654162887757045,0.3001406244713435,0.29734516673483874
INT9,1,trainHVG737,all,cp10k_full,1696,737,0.19927485508119594,0.18818288747079037,0.195147768573842,0.18812109027254467
INT8,2,hest_var50,all,log1p_raw,1949,50,0.5535561895177039,0.556894651740197,0.5526355563917196,0.5554105254152746
INT7,2,hest_var50,all,log1p_raw,2374,50,0.4241055886836236,0.4281209966205421,0.42236464157567866,0.4257545668817084
INT6,2,hest_var50,all,log1p_raw,1678,50,0.5119760918047993,0.5389204553591765,0.5099864273100274,0.5373210365979186
INT23,2,hest_var50,all,log1p_raw,4755,50,0.3689178471969977,0.3647443543912491,0.36741770515228,0.363599844212602
INT8,2,hest_var50,all,cp10k_panel,1949,50,0.2981496339239629,0.29960921482107195,0.29409413893598,0.2943764769680188
INT7,2,hest_var50,all,cp10k_panel,2374,50,0.2810310177075549,0.26398657790592706,0.27493504907328303,0.2592096345795127
