sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
INT11,all,trainHVG737,cp10k_panel,0.5457497720487853,0.1864690322223757,0.1958470057497277,0.00937797352735198,0
INT11,all,trainHVG737,log1p_raw,0.5457497720487853,0.1864690322223757,0.5040850130817481,0.3176159808593724,0
INT10,all,hest_var50,cp10k_panel,1.3935470328900212,0.43008811635425,0.5716397147240686,0.14155159836981862,0
INT10,all,hest_var50,log1p_raw,1.3935470328900212,0.43008811635425,0.6913174787775407,0.2612293624232907,0
INT10,all,trainHVG737,cp10k_panel,1.3935470328900212,0.43008811635425,0.48428052641492175,0.05419241006067177,0
INT10,all,trainHVG737,log1p_raw,1.3935470328900212,0.43008811635425,0.7496854635615019,0.3195973472072519,0
INT9,all,hest_var50,cp10k_panel,0.8371743195000934,0.2702114369491691,0.4035932358765384,0.1333817989273693,0
INT9,all,hest_var50,log1p_raw,0.8371743195000934,0.2702114369491691,0.560790226279839,0.2905787893306699,0
INT9,all,trainHVG737,cp10k_panel,0.8371743195000934,0.2702114369491691,0.31906934591862174,0.048857908969452635,0
INT9,all,trainHVG737,log1p_raw,0.8371743195000934,0.2702114369491691,0.5396125076927555,0.2694010707435864,0
INT8,all,hest_var50,cp10k_panel,0.6286184992036161,0.21028180485695808,0.2981496339239629,0.0878678290670048,0
INT8,all,hest_var50,log1p_raw,0.6286184992036161,0.21028180485695808,0.5535561895177039,0.34327438466074583,0
INT8,all,trainHVG737,cp10k_panel,0.6286184992036161,0.21028180485695808,0.21227312671599882,0.0019913218590407455,0
INT8,all,trainHVG737,log1p_raw,0.6286184992036161,0.21028180485695808,0.5613792044991653,0.35109739964220726,0
INT7,all,hest_var50,cp10k_panel,0.5361914842887935,0.18372240703553855,0.2810310177075549,0.09730861067201635,0
INT7,all,hest_var50,log1p_raw,0.5361914842887935,0.18372240703553855,0.4241055886836236,0.24038318164808503,0
INT7,all,trainHVG737,cp10k_panel,0.5361914842887935,0.18372240703553855,0.21507346740386915,0.0313510603683306,0
INT7,all,trainHVG737,log1p_raw,0.5361914842887935,0.18372240703553855,0.4938405893900908,0.31011818235455224,0
INT6,all,hest_var50,cp10k_panel,0.9517831237478284,0.30314489075223716,0.4058479460044828,0.10270305525224566,0
INT6,all,hest_var50,log1p_raw,0.9517831237478284,0.30314489075223716,0.5119760918047993,0.20883120105256214,0
INT6,all,trainHVG737,cp10k_panel,0.9517831237478284,0.30314489075223716,0.3294845379836846,0.02633964723144744,0
INT6,all,trainHVG737,log1p_raw,0.9517831237478284,0.30314489075223716,0.5873898073211448,0.2842449165689076,0
INT23,all,hest_var50,cp10k_panel,0.4456972571882559,0.15771840614553884,0.2217158350451057,0.06399742889956686,0
