section,gene,n_spot,r_full,dg,crg,drg
B1,SEPW1,293,0.2717149812018976,0.03656781329629787,0.10438215850595459,0.02741151520421587
B1,SLC25A6,293,-0.05166961973555644,-0.15714131462159803,-0.05292475896100667,-0.08629077999054965
B1,SLC2A4RG,293,0.1542813983173089,-0.0914638328749529,0.04921373408971818,-0.030318070832293195
B1,SPDEF,293,0.07981043033461345,0.012861306647106066,0.009467592724266229,0.021461803299321593
B1,SPINT2,293,0.27059710095399064,0.019907948660612743,0.13536712112703067,0.06764600294733987
B1,SSR4,293,-0.14194654786293634,-0.05866063611057282,-0.19723119031236436,-0.16228135579377398
B1,STARD10,293,0.027402105381117897,-0.16507465580803482,0.0006756403692112133,-0.0640335088719505
B1,STARD3,293,0.03331502045575876,-0.14041570330680392,0.002666424135261654,-0.04772838131545058
B1,TAGLN2,293,0.11469754560561836,-0.16105611820341453,-0.0003347538156708134,-0.09044837885779587
B1,TAPBP,293,0.19163204493577987,-0.026171443324162293,0.08526840687158627,0.019250836748237615
B1,TIMP1,293,-0.03519762824195001,0.13725415547069564,0.09121752522070434,0.12411327707742172
B1,TPT1,293,0.3416064680919,0.06986177175475403,0.08702962908788925,-0.030156919241294048
B1,TSPO,293,0.2501335429669126,0.0498552974987905,0.1305142062500292,0.054019747717213476
B1,TUBA1B,293,0.2750839986690138,-0.045177975679044025,0.09805946963938016,-0.005155362776801247
B1,TUBB,293,0.2273139687914138,-0.025442858941091887,0.10534033973573412,0.03869918602429487
B1,UBC,293,0.17068186486825937,-0.16747729153952773,0.02287952620874409,-0.10391314267226444
B1,UBE2M,293,0.21627321611692066,0.04432178264828342,0.1224368158131897,0.07320041964179633
B1,XBP1,293,0.3277170106678573,0.009787367597587911,0.13820356768576197,0.043755709662050855
B1,ZYX,293,-0.01094743727129904,-0.06297879927439069,-0.04457068590129245,-0.08550569950718048
C1,ACTG1,174,0.22714701176554497,-0.14615989015362907,0.23068812635894248,-0.04342931744785078
C1,ACTN4,174,-0.10702450895662413,0.056015833432066266,-0.04325981706066334,0.05084183115218664
C1,AES,174,-0.11602102277504113,0.13858904628850272,-0.0025620322641632994,0.13166715595143277
C1,ALDOA,174,0.002875352571032263,0.01917394395355602,0.030212689484500135,0.006361385206939254
C1,AP000769.1,174,0.4077571149777187,0.09419815521522838,0.2837677754910874,0.06237365272869458
C1,APOE,174,0.24083900147279902,0.24118221587467883,0.23499409462893622,0.23529255477483035
C1,ATP1A1,174,0.4314950143425921,0.012547454331651402,0.37561721255561037,0.10063241632409255
C1,ATP6V0B,174,0.26923221464606284,-0.015895326259472636,0.20403781929993606,0.025121881040907797
C1,B2M,174,0.31352512681742756,0.25661336252382105,0.27134972326006385,0.2539268233110213
C1,BEST1,174,-0.04489631609347885,0.0400529130399369,0.03309821201902954,0.07060552691969055
C1,C12orf57,174,0.0054119841968734185,0.10091568809316771,0.010097186364110717,0.07231390662925746
C1,CD74,174,0.04474683176545427,0.11298405657450139,0.14695392834701695,0.15253545028633606
C1,CD81,174,-0.08400749979134323,0.003224793539463542,0.0383900903077288,0.05204568652704433
C1,CHCHD2,174,0.3853101329469818,0.1867308477693575,0.3507544744754783,0.2047775898794038
C1,CISD3,174,0.2916454996775822,0.19482025076834586,0.256989710803201,0.19594449308937203
C1,COL1A1,174,0.0695219506729838,0.17261721781456543,0.13580620177892833,0.18403036868987066
C1,COPE,174,0.07051052060983955,0.12570887372370346,0.0884875873649722,0.11807701773318138
C1,COX4I1,174,0.26438066303088054,0.049567154996815084,0.13487225344957385,0.021449521837520073
C1,COX6B1,174,0.25372538973965814,0.07167518313204385,0.21810242298211835,0.08347362155081728
C1,CRIP2,174,0.07616172159666482,-0.08605723408624441,0.015343133685760346,-0.07054618376233707
C1,CST3,174,-0.15694066571244544,-0.06206214153641246,-0.02172193163707045,0.002789403836650115
C1,CYBA,174,-0.03993372700943162,-0.05598523700406151,0.013553590526020363,-0.03353716246778103
C1,DDX5,174,0.24554431697317075,-0.06207436103066679,0.34141034603954407,0.12182857712977098
C1,EDF1,174,0.031541063606998224,0.11895609191855974,0.08407073532792747,0.08646755264279544
C1,EEF1D,174,-0.016583326934024215,0.11384927205789765,-0.019141285919823597,0.08718066473174721
C1,EEF2,174,0.06641493827022081,-0.06763699866342417,0.06372395158437776,-0.0018542641953604353
C1,EIF4G1,174,0.051444612015369255,0.049136172092208524,0.0475299757789813,0.06321559093719546
C1,ENO1,174,0.06565211128340744,-0.041492528455004604,0.04342848035630316,-0.03859528715436936
C1,ERBB2,174,0.36844750427625844,-0.026617166397923605,0.3588148967054887,0.08274090338645602
C1,FASN,174,0.14182158064783415,-0.1876675471428704,0.08341437764592854,-0.12114754379545466
C1,FKBP2,174,0.004208915436703784,0.03592742682948545,-0.010700149656971372,0.03586878628252728
C1,FLNA,174,-0.03479221327563937,-0.036294600274482,-0.01703013347160149,-0.02192381057963508
C1,FTH1,174,0.10813946034898453,0.07292081389791838,0.13897311464757958,0.08870842899817272
C1,GNAS,174,0.5118815493015624,0.09089411357493761,0.3821120697427454,0.09080019676547504
C1,GNB2,174,0.27020739468723154,0.1006413448116462,0.1943594584320072,0.14179606961470584
C1,GRINA,174,-0.2358521020206285,-0.1067859362531374,-0.1673186867125151,-0.10056273982733349
C1,GRN,174,0.1871668673981584,0.1897183852074668,0.1861839627625306,0.1848621277529427
C1,H1FX,174,0.07912202782971112,0.11405275678221585,0.08285008170632127,0.10897903021262546
C1,H2AFJ,174,0.06461114565743023,-0.05195938820154442,-0.09010372214662704,-0.11115416082518997
