sample,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
MEND159,hest_var50,log1p_raw,2.3695589031390485,0.7105503552814797,0.45669485946176647,-0.25385549581971323,1
MEND159,trainHVG737,cp10k_panel,2.3695589031390485,0.7105503552814797,0.26689299686906,-0.4436573584124197,1
MEND159,trainHVG737,log1p_raw,2.3695589031390485,0.7105503552814797,0.3782848987137195,-0.3322654565677602,1
MEND160,hest_var50,cp10k_panel,2.1970855781947667,0.6609892215047412,0.3830515071170893,-0.27793771438765186,1
MEND160,hest_var50,log1p_raw,2.1970855781947667,0.6609892215047412,0.42566486577992996,-0.2353243557248112,1
MEND160,trainHVG737,cp10k_panel,2.1970855781947667,0.6609892215047412,0.27330051670022504,-0.3876887048045161,1
MEND160,trainHVG737,log1p_raw,2.1970855781947667,0.6609892215047412,0.3587083073623844,-0.30228091414235675,1
MEND161,hest_var50,cp10k_panel,3.122698819034788,0.9269691443108493,0.6818549053202401,-0.24511423899060925,1
MEND161,hest_var50,log1p_raw,3.122698819034788,0.9269691443108493,0.6840407431656207,-0.24292840114522862,1
MEND161,trainHVG737,cp10k_panel,3.122698819034788,0.9269691443108493,0.533852665549745,-0.39311647876110434,1
MEND161,trainHVG737,log1p_raw,3.122698819034788,0.9269691443108493,0.6366503861092978,-0.2903187582015515,1
MEND162,hest_var50,cp10k_panel,1.4661955921491825,0.45096406899964475,0.4022543942299167,-0.04870967476972804,1
MEND162,hest_var50,log1p_raw,1.4661955921491825,0.45096406899964475,0.4748456847122421,0.023881615712597337,1
MEND162,trainHVG737,cp10k_panel,1.4661955921491825,0.45096406899964475,0.3386038869578116,-0.11236018204183318,1
MEND162,trainHVG737,log1p_raw,1.4661955921491825,0.45096406899964475,0.48597855550011126,0.03501448650046651,1
