sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
MEND154,0,trainHVG50,all,cp10k_full,2736,50,0.24217113507114119,0.26247434099971373,0.24059102496250281,0.2712225604407095
MEND162,0,trainHVG737,all,log1p_raw,2609,737,0.48597855550011126,0.5089690323443113,0.48427719384697987,0.5072553313759635
MEND161,0,trainHVG737,all,log1p_raw,2775,737,0.6366503861092978,0.6345729432034032,0.6361099306074346,0.6338826700324096
MEND160,0,trainHVG737,all,log1p_raw,4079,737,0.3587083073623844,0.38667253379281524,0.35719973968304347,0.3855720408453084
MEND159,0,trainHVG737,all,log1p_raw,3856,737,0.3782848987137195,0.4052698243366209,0.37742498586898593,0.40388092672355996
MEND158,0,trainHVG737,all,log1p_raw,3092,737,0.48759212755105286,0.4978437628016495,0.48703994433320036,0.497027391075198
MEND157,0,trainHVG737,all,log1p_raw,3190,737,0.5239803928516427,0.5372941896357627,0.5231179657990573,0.536588232075007
MEND156,0,trainHVG737,all,log1p_raw,3554,737,0.6508160214367361,0.6444999964073072,0.650236090928951,0.6439985289738973
MEND154,0,trainHVG737,all,log1p_raw,2736,737,0.532004223870974,0.5289432434223604,0.5303572609207792,0.5273668235475252
MEND162,0,trainHVG737,all,cp10k_panel,2609,737,0.3386038869578116,0.32082983577983826,0.34151809345720724,0.3496501630610193
MEND161,0,trainHVG737,all,cp10k_panel,2775,737,0.533852665549745,0.5074434206962138,0.5337740557926955,0.535023003766784
MEND160,0,trainHVG737,all,cp10k_panel,4079,737,0.27330051670022504,0.29812938695014735,0.2718686833151655,0.31110564659092327
MEND159,0,trainHVG737,all,cp10k_panel,3856,737,0.26689299686906,0.29348752318928223,0.26696507119416774,0.30732341716529993
MEND158,0,trainHVG737,all,cp10k_panel,3092,737,0.4151980564363653,0.40630384220073207,0.4155602272074712,0.4310285832372111
MEND157,0,trainHVG737,all,cp10k_panel,3190,737,0.4049989810272744,0.39945851948064104,0.4058792729412921,0.4268768227182892
MEND156,0,trainHVG737,all,cp10k_panel,3554,737,0.531771689161369,0.5098766876847974,0.5314858936348763,0.5416690705370649
MEND154,0,trainHVG737,all,cp10k_panel,2736,737,0.3531744454815427,0.3530607090584593,0.3515403799104026,0.3555993787394908
MEND162,0,trainHVG737,all,cp10k_full,2609,737,0.29255855632013333,0.27715502914393825,0.29631613707503285,0.3074039143696729
MEND161,0,trainHVG737,all,cp10k_full,2775,737,0.4801757479579109,0.462003825329963,0.4808969484850214,0.4888052580579405
MEND160,0,trainHVG737,all,cp10k_full,4079,737,0.25157050142950693,0.2784364640091828,0.2511564667949482,0.2913585356072698
MEND159,0,trainHVG737,all,cp10k_full,3856,737,0.23450377770559314,0.2645677814885272,0.23539351107694417,0.278501953216139
MEND158,0,trainHVG737,all,cp10k_full,3092,737,0.37977975095391775,0.3768331757351876,0.3797877281769866,0.4011830234765693
MEND157,0,trainHVG737,all,cp10k_full,3190,737,0.37227767100490394,0.36897637112874926,0.37173248604241754,0.39563233728401404
MEND156,0,trainHVG737,all,cp10k_full,3554,737,0.47895510504736516,0.4641766632138454,0.4790791347176875,0.4962242897600001
MEND154,0,trainHVG737,all,cp10k_full,2736,737,0.314051928118047,0.3234925402121354,0.3121373060058146,0.3258900030197534
MEND153,1,hest_var50,all,log1p_raw,1820,50,0.5567645309294336,0.5259328059899735,0.5553251816399869,0.5242215191922261
