sample,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
NCBI684,hest_var50,all,cp10k_full,4992,50,0.2260097819674795,0.22820393891766308,0.22465534644108834,0.23137632962239316
NCBI684,hest_var50,in_tissue,log1p_raw,3055,50,0.2775636042806495,0.30157992937296396,0.2746526705428256,0.29853263734165725
NCBI684,hest_var50,in_tissue,cp10k_panel,3055,50,0.22644567965841983,0.25412346512615963,0.22418117750091063,0.2526402113107051
NCBI684,hest_var50,in_tissue,cp10k_full,3055,50,0.09274414639921652,0.11590539776003107,0.08853672185480485,0.11253707714663355
NCBI684,trainHVG50,all,log1p_raw,4992,50,0.3111680332156459,0.3088078535981431,0.3096337419493076,0.3074220826793586
NCBI684,trainHVG50,all,cp10k_panel,4992,50,0.31366192967337925,0.3016779706134873,0.3126472423997446,0.30858939658874307
NCBI684,trainHVG50,all,cp10k_full,4992,50,0.17497791218548625,0.17689043451880518,0.17298274001032446,0.17796895493905493
NCBI684,trainHVG50,in_tissue,log1p_raw,3055,50,0.23410657045021327,0.24174717382081762,0.2298617988955201,0.23900322759142387
NCBI684,trainHVG50,in_tissue,cp10k_panel,3055,50,0.2054691522655273,0.21386865578930014,0.20293665315211296,0.20962829362222288
NCBI684,trainHVG50,in_tissue,cp10k_full,3055,50,0.06294477094816728,0.07879876508686628,0.05790784740641129,0.0785678962569658
NCBI684,trainHVG737,all,log1p_raw,4992,737,0.4337245947235661,0.44576025510108025,0.4333891612431287,0.44493813966659723
NCBI684,trainHVG737,all,cp10k_panel,4992,737,0.389146033562884,0.40068669718102046,0.38858548244402497,0.40172525441667606
NCBI684,trainHVG737,all,cp10k_full,4992,737,0.26939051244641565,0.27918444236150713,0.2680867868159216,0.28118477990522667
NCBI684,trainHVG737,in_tissue,log1p_raw,3055,737,0.33319646748802406,0.359956081661698,0.33092001749292815,0.3581237357506271
NCBI684,trainHVG737,in_tissue,cp10k_panel,3055,737,0.22657034272380458,0.24564376913881666,0.22439212855650575,0.24281345500285423
NCBI684,trainHVG737,in_tissue,cp10k_full,3055,737,0.10740656524994413,0.12449186014822533,0.10095243300199479,0.12069399833952527
