section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
C1,C,htg785_fixed,scprep,raw,785,0.07366732506369471,0.07712521211857225,0.15985490184829296,0.3016885980047893,0.2557320618434357
C2,C,htg785_fixed,scprep,raw,785,0.076075760128464,0.08067206324902924,0.14646702632433584,0.30591556629753763,0.2664150184237406
C3,C,htg785_fixed,scprep,raw,785,0.07977127000806868,0.08419079739479916,0.17660290059795258,0.32385604168946647,0.279039281285409
C4,C,htg785_fixed,scprep,raw,785,0.09175712516439179,0.09785376019850399,0.20296938208050783,0.348400323054329,0.3022460088954766
C5,C,htg785_fixed,scprep,raw,785,0.09711134741666021,0.09755927307486376,0.2127232283465564,0.3414282851889648,0.291678479914751
C6,C,htg785_fixed,scprep,raw,785,0.061056860818745444,0.06463095202514546,0.14461330980183698,0.28887269422594025,0.2466688750070582
C1,C,htg785_fixed,scprep,smooth,785,0.0823265693007595,0.08008478352443114,0.12244251351321468,0.36147066372872916,0.32113411379427026
C2,C,htg785_fixed,scprep,smooth,785,0.10511179014716945,0.10661825048871869,0.14222429792967456,0.36848328691121224,0.33683621979132483
C3,C,htg785_fixed,scprep,smooth,785,0.11449444598978892,0.109764004153527,0.15283191256783576,0.3852403256084508,0.34702585399435776
C4,C,htg785_fixed,scprep,smooth,785,0.13027060847908162,0.12935265615650415,0.20034617045798028,0.43691310834399955,0.3889908695270743
C5,C,htg785_fixed,scprep,smooth,785,0.13958534471868572,0.12996228333268733,0.169063835972221,0.42597182785976956,0.3861920297640584
C6,C,htg785_fixed,scprep,smooth,785,0.06428707059606412,0.06272780625721551,0.0933863712506574,0.3382114882603432,0.29309369684924036
D1,D,hvg737_train,cp10k,raw,737,0.10870727331575435,0.11336274163355667,0.1548702871055972,0.32900116705483223,0.2849998226697189
D2,D,hvg737_train,cp10k,raw,737,0.11175083223341159,0.11625283953308402,0.13562929987165862,0.31104124546434725,0.27786555314353867
D3,D,hvg737_train,cp10k,raw,737,0.08124149088579086,0.08725500037007387,0.0956374005262761,0.2772239896630078,0.23963444563853042
D4,D,hvg737_train,cp10k,raw,737,0.07564234589614266,0.08014086720457743,0.08279924798197211,0.2667824992277006,0.2359174924852489
D5,D,hvg737_train,cp10k,raw,737,0.05274377660179174,0.050313730778968474,0.05553066244483586,0.23060655201713828,0.20198704113547505
