tag,section,patient,model,n_labeled,r_full,dg,crg,drg,drg_ci_lo,drg_ci_hi,perm_max,perm_p95,g4_pass
phikon_cat,B1,B,LAB|comp_oracle,268,0.14361350882074042,0.030423874914444114,,,,,,,
phikon_cat,B1,B,LAB|dc_image,268,0.12708052768520572,0.01949610194198123,0.012080484390761783,-0.00609378534721579,,,,,
phikon_cat,B1,B,LAB|full_image,268,0.14237243596833252,0.026543726808210245,0.038351279875146055,0.021751960400144862,,,,,
phikon_cat,B1,B,LAB|delta_image,268,0.03569741298367116,-0.00011549844654840186,0.02401210131751718,0.01928388210027916,,,,,
phikon_cat,B1,B,LAB|comp_image,268,-0.047272118342912936,0.019496101941981266,-0.020240808575932214,-0.00609378534721579,,,,,
phikon_cat,B1,B,LAB|ridge_naive_labrows,268,0.23144350263851665,0.017072602822798134,0.07730048050298712,0.020434967635529145,,,,,
phikon_cat,C1,C,depth,165,0.23273428190827655,,0.1709332173627241,,,,,,
phikon_cat,C1,C,dc_image,165,0.14743479246696384,0.001592567987612907,0.08805720263017613,-0.0008537301935470349,,,,,
phikon_cat,C1,C,full_image,165,0.1815531290800617,0.04781306759490546,0.13240896368407926,0.040757014025308215,0.028669375803793928,0.06635196958335328,0.02559923351468141,0.016657687380899067,False
phikon_cat,C1,C,delta_image,165,0.07118298132792984,0.038296044881923716,0.06123297436358824,0.03740705032054608,0.020677994921447368,0.06678103677723826,0.035138679422658296,0.019716492204119425,False
phikon_cat,C1,C,comp_image,165,-0.08419676199136737,0.0015925679876136352,-0.05180956806971482,-0.0008537301935461517,,,,,
phikon_cat,C1,C,dc_nmf,165,0.1558499297518582,0.03285393790355833,0.11265979910579765,0.029628562686725198,,,,,
phikon_cat,C1,C,full_nmf,165,0.07809116201628545,0.03837544307931766,0.05736713859094492,0.03378029669148937,,,,,
phikon_cat,C1,C,delta_nmf,165,-0.087000362166772,0.011245724343814894,-0.05489635764253902,0.006662460051559029,-0.0055645645822191,0.03211515583242797,0.02803477392005623,0.016394001513020288,False
phikon_cat,C1,C,comp_nmf,165,-0.05588116076573097,0.03285393790355959,-0.012142692217785316,0.029628562686725663,,,,,
phikon_cat,C1,C,ridge_naive,165,0.23992798558734824,0.0625463484422593,0.1837876186112257,0.06524499357447906,0.053022999061917576,0.08789673575946452,0.02432988077998639,0.018039688917418025,True
phikon_cat,C1,C,LAB|depth,165,0.2249118977899993,,0.16298476377522003,,,,,,
