section,gene,r_tech,r_nbr
A1,MMACHC,0.7489839327920688,0.016522453301537496
A1,KDELR1,0.7852870992735212,0.4302699081280512
A1,PTGDS,0.7408436051614877,-0.037297923808119644
A1,LSM7,0.7598943507725688,-0.06455619207017305
A1,CTSD,0.7718593318268152,0.17589770778790742
A1,JUP,0.7143774299673885,0.10349690512231775
A1,IER3,0.7752197870239425,-0.01624452136794136
A1,TNFSF10,0.7809201701595749,0.03521644005948034
A1,PPP1R14B,0.7758461885489382,0.16269402164702365
A1,SLC44A2,0.7874747674229502,0.2633178716263822
A1,AGPAT2,0.7928930656274253,0.2595856751140592
A1,ACTB,0.7614903392846888,0.1580915905758847
A1,PPP1CA,0.7897874953901911,0.1602865782602586
A1,SDF4,0.7442861052838069,0.15200486517828954
A1,PSME2,0.7745853204949102,0.018142962272423093
A1,CTTN,0.7469328625551596,-0.08410468691703074
A1,CD68,0.7928195325608054,0.0940511591020674
A1,ZFP36L1,0.7812043944924519,0.1434924414673791
A1,FXYD3,0.7861228204834348,0.08592471791946109
A1,HM13,0.7756803689647646,0.17347250575225964
A1,CENPB,0.7643008483131255,0.19228681978480985
A1,EMILIN1,0.7869712803325979,0.24985435038805284
A1,KDELR2,0.7693075296141406,0.10037362720854943
A1,CXXC5,0.7799795668594767,0.2576422156425139
A1,HADHA,0.7418889194254555,0.1862459219903632
A1,PEBP1,0.7604787462100897,0.16983693166131927
A1,SERPINH1,0.7488220041076755,0.07817133207601785
A1,FADS2,0.7851617603020228,-0.08987803696702545
A1,NDUFB11,0.7766483921817098,0.05853092191568972
A1,ETFB,0.8255965959362888,0.1571418930540145
A1,SQSTM1,0.7540489040566112,0.012960525586536554
A1,ARPC1B,0.7764734161644447,0.10374294917759952
A1,ATOX1,0.8191217306325659,0.15980450146682024
A1,SERF2,0.800807380644252,0.5852347029235565
A1,PSMB1,0.7789357275430983,0.11952137619674197
A1,HLA-DPB1,0.8473158399678682,0.37542056853287203
A1,EHBP1L1,0.7695919324668737,0.07983971473287625
A1,FLNA,0.7638793979432472,0.11786949906977817
A1,NRBP1,0.7846456558039786,0.1377026615777688
A1,CLIC1,0.7614901175668203,0.013937570421520155
A1,MAF1,0.7583896103304488,0.1334988962094844
A1,TRIM28,0.7545580152146646,0.09289705145633922
A1,GAS6,0.8031644152607572,0.19452669648099566
A1,MYO1C,0.7664939397330295,0.16838875366726852
A1,HMGA1,0.7642606606195769,0.11940191815337571
A1,IER5L,0.7788628876191196,-0.07580014426079394
A1,CCDC85B,0.7623894298161864,0.1091907452265263
A1,ENSA,0.7349565125762176,-0.057964154711880926
A1,TXNIP,0.81764449255522,0.38257403511314025
A1,ERGIC3,0.7673090279866834,0.12462210343365282
A1,CDC37,0.7590881536508977,0.0005938881398251462
A1,PKM,0.7627144686914129,-0.016662065817144318
A1,UBB,0.7577407870558122,-0.03012910142169782
A1,ARRDC1,0.7898859415732684,0.10405425859043148
A1,GAA,0.7789410750233059,0.05567963782807231
A1,NECTIN2,0.7733627108696733,0.17628398175747423
A1,S100A10,0.7695330953809123,0.033860896095485815
A1,PRKCSH,0.7901687941469626,0.18437948436308424
A1,RARRES3,0.8205381238464227,0.12950336886581693
A1,HCFC1R1,0.7800382234182599,0.3015448424012823
A1,MFGE8,0.7833214917213353,0.055004686899399226
