section,gene,cross6,binary,oracle
A1,IER3,-0.04540475899446313,-0.0662133215170542,0.1164217337911526
A1,TIMM13,-0.0177612567040148,-0.007331035013515494,0.05381998987349478
A1,CLIC1,0.008292339414838697,0.005221597784850646,0.14068834544572958
A1,PTMA,0.19763906998617875,0.21084080344304867,0.2135524644596546
A1,EIF4G1,-0.21134478707434293,-0.13971667885011468,0.24066339529997502
A1,ECM1,-0.05391172507181064,-0.048403194731828046,0.09468899728157255
A1,PFDN5,0.12895971126790795,0.05881522410187212,0.17101376433723522
A1,GNAI2,0.13895647772929498,0.16572367797496698,0.2138792302874781
A1,GRN,0.1659717441837599,0.04874202506399492,0.16735957711609584
A1,PSME2,0.0912570473133767,0.09729679264241374,0.10311084635614048
A1,EIF3B,-0.054717526558669655,-0.09698971866554157,0.2358012378520236
A1,AES,-0.05306782502530506,-0.11462565653270008,0.19459322448478109
A1,ECHS1,0.1411971503194492,0.034652661959414806,0.2414354380740226
A1,SERPINH1,0.13228019027220503,0.05811533249760529,0.18991264206878797
A1,UBE2M,-0.01841763798247095,-0.11222749716012737,0.214339737508478
